"budget","domgross"
1.3e+07,25682380
4.5e+07,13414714
2e+07,53107035
6.1e+07,75612460
4e+07,95020213
2.25e+08,38362475
9.2e+07,67349198
1.2e+07,15323921
1.3e+07,18007317
1.3e+08,60522097
4e+07,148430908
2.5e+07,37304874
5e+07,19452138
1.8e+07,33345833
5.5e+07,107136417
3e+07,35266619
7.8e+07,119640264
7.6e+07,368065385
5500000,24477704
1.2e+08,93050117
1.1e+08,61737191
1e+08,107518682
4e+07,57012977
7e+07,25213103
1.7e+07,54239856
1.6e+08,238679850
1.5e+08,393050114
1.4e+08,122523060
6e+07,46000903
3e+07,4167493
1.1e+08,271814796
8e+07,133668525
5e+07,55703475
2.3e+07,25000178
3.5e+07,134506920
5e+06,83586447
2e+08,408992272
1.95e+08,65187603
2.8e+07,28795985
2.8e+07,63914167
3e+07,116632095
2e+06,8008161
1.5e+07,71628180
2.25e+08,291045518
1.2e+07,17482517
7.5e+07,117723989
1.2e+08,89107235
7e+07,98927592
2e+08,234770996
1.9e+08,101802906
2.6e+07,49875291
3.5e+07,17616641
1.5e+07,9177065
9e+07,68559554
4.6e+07,61002302
1.3e+08,33618855
8.4e+07,53262560
3.8e+07,42025135
3e+07,19316646
3.8e+07,26947624
2.8e+07,71399120
3.5e+07,82834332
3e+07,32172757
1.9e+08,228778661
2e+07,34341945
32500000,21819348
1.9e+07,21345525
1.3e+07,51872378
2e+07,137400141
2.5e+07,16973715
1.35e+08,187168425
3e+07,36918811
2.6e+07,3254172
1.9e+08,144840419
1.03e+08,112200072
4.3e+07,159581587
2.5e+08,257397516
5e+07,26623701
1.3e+08,424088260
3.2e+07,22537881
5.8e+07,44672764
4e+06,15179303
2.75e+08,89289910
6e+07,31165421
3e+06,64473115
1.1e+08,71017784
1500000,3491669
5e+06,21502690
1e+08,115702857
1.15e+08,132556852
2e+07,26004851
3.2e+07,101470202
1.7e+08,204674790
1.6e+07,2322593
1.35e+08,83028130
3e+07,66380662
3.7e+07,150394119
1.5e+08,73103784
1.9e+08,202359711
67500000,37519139
1.2e+07,70012847
9700000,6738954
4.9e+07,12816367
44500000,136025503
2.09e+08,65235400
1800000,12795746
1200000,595018
1.85e+08,237282182
5.5e+07,9489829
1e+06,18119640
1.2e+07,64575175
1.02e+08,27108272
2.5e+07,66528000
1e+08,162805434
3.1e+07,93772375
3.9e+07,35287788
8.7e+07,165092266
